paper_id,title,authors,publication_year,venue,doi_or_stable_identifier,authoritative_url,full_text_url,dataset,exact_subset,research_task,learning_setting,operating_condition_treatment,model,split_strategy,evaluation_unit,label_or_onset_definition,metrics,exact_reported_metric_values,metric_direction,evidence_location,result_scope,code_or_data_available,limitations,relevance_to_methodology,comparison_category,evidence_access_level,verification_status,direct_comparison_permitted,source_v3_id,source_v3_path,source_v3_sha256,access_date,notes
LIT-033,Memorizing Normality to Detect Anomaly: Memory-augmented Deep Autoencoder,NR,2019,ICCV / arXiv,arXiv:1904.02639,https://arxiv.org/abs/1904.02639,https://arxiv.org/abs/1904.02639,General anomaly detection,General anomaly detection,deep baseline,not_applicable_or_NR,NR,Restricts reconstruction to learned normal prototypes,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not tailored to C-MAPSS sequences,Evidence that vanilla AEs may reconstruct anomalies too well,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,33,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-034,An Evaluation of Anomaly Detection and Diagnosis in Multivariate Time Series,NR,2022,IEEE TNNLS,https://pubmed.ncbi.nlm.nih.gov/34464278/,https://pubmed.ncbi.nlm.nih.gov/34464278/,https://pubmed.ncbi.nlm.nih.gov/34464278/,Multiple multivariate benchmarks,Multiple multivariate benchmarks,evaluation,not_applicable_or_NR,NR,Finds scoring functions can matter more than model architecture,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not a C-MAPSS-specific comparison,Prioritize scoring/threshold ablations,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,34,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-035,Precision and Recall for Time Series,NR,2018,NeurIPS,https://papers.nips.cc/paper/7462-precision-and-recall-for-time-series,https://papers.nips.cc/paper/7462-precision-and-recall-for-time-series,https://papers.nips.cc/paper/7462-precision-and-recall-for-time-series,Range-based time-series anomalies,Range-based time-series anomalies,evaluation,not_applicable_or_NR,NR,Defines range-aware precision and recall,NR,NR,NR,NR,NR,NR,NR,NR,NR,Requires choices about range weighting,Event/range metrics,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,35,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-036,Towards a Rigorous Evaluation of Time-Series Anomaly Detection,NR,2022,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/20680,https://ojs.aaai.org/index.php/AAAI/article/view/20680,https://ojs.aaai.org/index.php/AAAI/article/view/20680,Time-series anomaly benchmarks,Time-series anomaly benchmarks,evaluation,not_applicable_or_NR,NR,Shows point adjustment can make random scores look state of the art,NR,NR,NR,NR,NR,NR,NR,NR,NR,Focuses benchmark evaluation rather than PHM cost,Prohibits point-adjusted headline F1,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,36,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-037,Volume Under the Surface: A New Accuracy Evaluation Measure for Time-Series Anomaly Detection,NR,2022,PVLDB,doi:10.14778/3551793.3551830,https://dl.acm.org/doi/10.14778/3551793.3551830,https://dl.acm.org/doi/10.14778/3551793.3551830,Time-series anomaly benchmarks,Time-series anomaly benchmarks,evaluation,not_applicable_or_NR,NR,Provides range-aware ROC/PR surfaces across timing tolerances,NR,NR,NR,NR,NR,NR,NR,NR,NR,More complex to communicate than raw event metrics,Optional timing-robust metric,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,37,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-038,Anomaly Detection in Time Series: A Comprehensive Evaluation,Sebastian Schmidl; Phillip Wenig; Thorsten Papenbrock,2022,PVLDB,doi:10.14778/3538598.3538602,https://timeeval.github.io/evaluation-paper/,https://timeeval.github.io/evaluation-paper/,Large multi-domain benchmark,Large multi-domain benchmark,evaluation,not_applicable_or_NR,NR,Finds no detector family consistently dominates,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not multivariate C-MAPSS-specific,Justifies strong simple baselines and reproducibility,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,38,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-039,Current Time Series Anomaly Detection Benchmarks are Flawed and are Creating the Illusion of Progress,NR,2023,IEEE TKDE / arXiv,arXiv:2009.13807,https://arxiv.org/abs/2009.13807,https://arxiv.org/abs/2009.13807,Popular anomaly benchmarks,Popular anomaly benchmarks,evaluation,not_applicable_or_NR,NR,"Documents benchmark flaws, mislabeled/trivial anomalies and unreliable rankings",NR,NR,NR,NR,NR,NR,NR,NR,NR,Not specifically an FD002 analysis,Supports conservative comparative claims,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,39,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-040,Navigating the Metric Maze: A Taxonomy of Evaluation Metrics for Anomaly Detection in Time Series,NR,2023,Data Mining and Knowledge Discovery / arXiv,arXiv:2303.01272,https://arxiv.org/abs/2303.01272,https://arxiv.org/abs/2303.01272,Time-series anomaly metrics,Time-series anomaly metrics,evaluation,not_applicable_or_NR,NR,Taxonomizes metric behavior and domain trade-offs,NR,NR,NR,NR,NR,NR,NR,NR,NR,Metric choice still requires operational semantics,Metric selection and sensitivity,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,40,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-041,A Unified Approach to Interpreting Model Predictions,NR,2017,NeurIPS,https://proceedings.neurips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf,https://proceedings.neurips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf,https://proceedings.neurips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf,General supervised models,General supervised models,explainability,not_applicable_or_NR,NR,Introduces SHAP feature attributions,NR,NR,NR,NR,NR,NR,NR,NR,NR,Does not guarantee fidelity to a different black-box model through a surrogate,Foundation for carefully labeled surrogate SHAP,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,41,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-042,A Survey on Explainable Anomaly Detection,NR,2023,ACM Computing Surveys,doi:10.1145/3609333,https://dl.acm.org/doi/10.1145/3609333,https://dl.acm.org/doi/10.1145/3609333,Explainable anomaly detection,Explainable anomaly detection,explainability,not_applicable_or_NR,NR,Organizes explanation types and fidelity issues,NR,NR,NR,NR,NR,NR,NR,NR,NR,Survey; does not validate one project explanation,Frames native versus surrogate explanation,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,42,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-043,Anomaly Detection and Diagnosis in Manufacturing Systems,NR,2019,PHM Society Conference,https://papers.phmsociety.org/index.php/phmconf/article/view/815,https://papers.phmsociety.org/index.php/phmconf/article/view/815,https://papers.phmsociety.org/index.php/phmconf/article/view/815,Manufacturing multivariate systems,Manufacturing multivariate systems,explainability,not_applicable_or_NR,NR,Uses variable-wise residual/contribution ideas for diagnosis,NR,NR,NR,NR,NR,NR,NR,NR,NR,Different industrial assets,Supports per-sensor contribution analysis,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,43,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-044,ReX: A Framework for Incorporating Temporal Information in Model-Agnostic Local Explanation Techniques,NR,2022,AAAI 2025 / arXiv,arXiv:2209.03798,https://arxiv.org/abs/2209.03798,https://arxiv.org/abs/2209.03798,Temporal ML models,Temporal ML models,explainability,not_applicable_or_NR,NR,Adapts local surrogate sampling and features to temporal inputs,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not an anomaly-specific or C-MAPSS study,Shows ordinary KernelSHAP ignores temporal structure,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,44,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-045,Outlier Ensembles: An Introduction,NR,2013,KDD workshop / ACM,doi:10.1145/2481244.2481252,https://dl.acm.org/doi/10.1145/2481244.2481252,https://dl.acm.org/doi/10.1145/2481244.2481252,General anomaly detection,General anomaly detection,ensemble,not_applicable_or_NR,NR,Studies aggregation of heterogeneous outlier scores,NR,NR,NR,NR,NR,NR,NR,NR,NR,Ensembles can be degraded by correlated or weak detectors,Fusion design and score normalization,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,45,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-046,Theoretical Foundations and Algorithms for Outlier Ensembles,NR,2015,SIGKDD Explorations,doi:10.1145/2830544.2830549,https://dl.acm.org/doi/10.1145/2830544.2830549,https://dl.acm.org/doi/10.1145/2830544.2830549,General anomaly detection,General anomaly detection,ensemble,not_applicable_or_NR,NR,Formalizes outlier-score combination and normalization,NR,NR,NR,NR,NR,NR,NR,NR,NR,Theory is not a guarantee of benefit on FD002,Requires calibrated/rank-normalized fusion and ablation,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,46,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-047,A Multiple Classifier System for Prognostics of Aircraft Engines,NR,2012,IEEE / C-MAPSS decision fusion,IEEE:6197000,https://ieeexplore.ieee.org/document/6197000/,NR,C-MAPSS,C-MAPSS,ensemble,not_applicable_or_NR,NR,Demonstrates model/decision fusion in turbofan prognostics,NR,NR,NR,NR,NR,NR,NR,NR,NR,RUL/prognostics endpoint rather than unsupervised anomaly alerting,Shows turbofan fusion is not new,C,abstract_only,screening_only_no_numeric_use,False,47,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-048,Adaptive Model Pooling for Online Deep Anomaly Detection from a Complex Evolving Data Stream,NR,2022,KDD,arXiv:2206.04792,https://arxiv.org/abs/2206.04792,https://arxiv.org/abs/2206.04792,Streaming datasets with concept drift,Streaming datasets with concept drift,online drift,not_applicable_or_NR,NR,ARCUS separates concept-driven inference from drift-aware model-pool updates,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not C-MAPSS and substantially more complex,Evidence that safe adaptation needs explicit drift logic,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,48,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-049,Autoencoder-based Anomaly Detection in Streaming Data with Incremental Learning and Concept Drift Adaptation,NR,2023,IJCNN,arXiv:2305.08977,https://arxiv.org/abs/2305.08977,https://arxiv.org/abs/2305.08977,Streaming imbalanced datasets,Streaming imbalanced datasets,online drift,not_applicable_or_NR,NR,Combines incremental AE learning with explicit drift detection,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not a turbofan benchmark,Contrasts with blindly updating thresholds on every score,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,49,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-050,The Impact of Neglecting Feature Scaling in K-means Clustering,NR,2024,Peer-reviewed open-access study,https://pmc.ncbi.nlm.nih.gov/articles/PMC11623793/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11623793/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11623793/,K-means benchmarks,K-means benchmarks,feature scaling,not_applicable_or_NR,NR,Demonstrates that feature scale changes Euclidean cluster assignments and quality,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not C-MAPSS-specific,Requires scaling op1/op2/op3 before K-means,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,50,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-051,Aero-Engine Fault Detection with an LSTM Auto-Encoder and Self-Attention Mechanism,NR,2024,Machines,https://www.mdpi.com/2075-1702/12/12/879,https://www.mdpi.com/2075-1702/12/12/879,https://www.mdpi.com/2075-1702/12/12/879,Aero-engine multivariate data,Aero-engine multivariate data,aeroengine fault detection,not_applicable_or_NR,NR,Combines LSTM-AE and self-attention for fault detection,NR,NR,NR,NR,NR,NR,NR,NR,NR,Dataset/protocol not identical to FD002 project,Additional aero-engine sequence-model precedent,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,51,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-052,Bifurcated Remaining Useful Life Prediction: A Hybrid Prognostic Framework,NR,2026,PHM Europe,https://www.papers.phmsociety.org/index.php/phme/article/view/4903,https://www.papers.phmsociety.org/index.php/phme/article/view/4903,https://www.papers.phmsociety.org/index.php/phme/article/view/4903,C-MAPSS,C-MAPSS,RUL prediction,unsupervised or method-dependent; exact training supervision NR,NR,Uses an LSTM autoencoder trained on nominal data with an RUL>150 state boundary,NR,NR,NR,NR,NR,NR,NR,NR,NR,RUL endpoint and 2026 publication; not direct detector benchmark,Supports RUL-threshold normality sensitivity,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,52,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No direct metric comparison approved; see the Direct Metrics sheet.
LIT-053,User's Guide for the Commercial Modular Aero-Propulsion System Simulation (C-MAPSS),NR,2007,NASA Technical Memorandum 2007-215026,NTRS:20070034949,https://ntrs.nasa.gov/citations/20070034949,NR,C-MAPSS simulator,C-MAPSS simulator,dataset/simulator documentation,not_applicable_or_NR,NR,"Documents the simulator architecture, variables, interfaces, and intended use behind C-MAPSS-generated studies.",NR,NR,NR,NR,NR,NR,NR,NR,NR,"A simulator guide, not an anomaly-detection benchmark or source of cycle-level degradation labels.","Dataset provenance, variable interpretation, and limits of claims about physical engine behavior.",C,metadata_only,screening_only_no_numeric_use,False,53,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,No detector is evaluated.
LIT-054,Aircraft Engine Run-to-Failure Dataset under Real Flight Conditions for Prognostics and Diagnostics,NR,2021,Data,https://www.mdpi.com/2306-5729/6/1/5,https://www.mdpi.com/2306-5729/6/1/5,https://www.mdpi.com/2306-5729/6/1/5,N-CMAPSS,N-CMAPSS,dataset/provenance,not_applicable_or_NR,NR,Introduces N-CMAPSS with realistic flight profiles and component-level degradation for prognostics and diagnostics.,NR,NR,NR,NR,NR,NR,NR,NR,NR,N-CMAPSS is not interchangeable with the older FD002 benchmark and is substantially larger.,Candidate external/future validation dataset and evidence for realistic operating-profile variation.,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,54,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Dataset paper; no detector metric comparison.
LIT-055,Anomaly Detection and Fault Disambiguation in Large Flight Data: A Multi-modal Deep Auto-encoder Approach,NR,2016,Annual Conference of the PHM Society,https://papers.phmsociety.org/index.php/phmconf/article/view/2549,https://papers.phmsociety.org/index.php/phmconf/article/view/2549,https://papers.phmsociety.org/index.php/phmconf/article/view/2549,Aircraft electromechanical actuator; multiple operating conditions,Aircraft electromechanical actuator; multiple operating conditions,aerospace anomaly,unsupervised or method-dependent; exact training supervision NR,NR,Trains a deep autoencoder on nominal multi-sensor windows; uses total and sensor-wise reconstruction error for detection and disambiguation.,NR,NR,NR,NR,NR,NR,NR,NR,NR,Not FD002 and faults are experimentally defined rather than gradual run-to-failure proxy labels.,Strong precedent for reconstruction scoring and native per-sensor contribution explanations.,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,55,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,"Different asset, fault construction, split, and metric definitions."
LIT-056,Hybrid Deep Fault Detection and Isolation: Combining Deep Neural Networks and System Performance Models,NR,2019,International Journal of Prognostics and Health Management,https://papers.phmsociety.org/index.php/ijphm/article/view/2621,https://papers.phmsociety.org/index.php/ijphm/article/view/2621,https://papers.phmsociety.org/index.php/ijphm/article/view/2621,C-MAPSS dynamic model; healthy plus four fault conditions,C-MAPSS dynamic model; healthy plus four fault conditions,residual anomaly,unsupervised or method-dependent; exact training supervision NR,NR,Combines operating inputs and physics-model residual or calibrated virtual variables with AE/VAE/HELM/OCSVM diagnostics.,NR,NR,NR,NR,NR,NR,NR,NR,NR,"Uses a separately generated fault-diagnostics dataset, not FD002 gradual-degradation proxies.",Evidence for residualization as a condition-aware comparator and for separating detection from fault isolation.,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,56,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Accuracy on known simulated faults is not comparable with FD002 proxy PR-AUC.
LIT-057,Operating Condition-Invariant Neural Network-based Prognostics Methods Applied on Turbofan Aircraft Engines,NR,2019,Annual Conference of the PHM Society,https://papers.phmsociety.org/index.php/phmconf/article/view/786,https://papers.phmsociety.org/index.php/phmconf/article/view/786,https://papers.phmsociety.org/index.php/phmconf/article/view/786,C-MAPSS TEDS and PHM2008,C-MAPSS TEDS and PHM2008,condition-aware prognostics or monitoring,not_applicable_or_NR,NR,Studies preprocessing and neural architectures with the goal of reducing operating-condition dependence.,NR,NR,NR,NR,NR,NR,NR,NR,NR,RUL prediction rather than anomaly alerting; timeliness and accuracy trade-offs use different endpoints.,Supports the central need for careful EDA and operating-condition treatment before modeling.,C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,57,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Different task and outcome.
LIT-058,Data-Driven Prognostics and Diagnostics of Industrial Machinery: A Turbofan Engine Case Study,NR,2023,PHM Asia Pacific,https://papers.phmsociety.org/index.php/phmap/article/view/3690,https://papers.phmsociety.org/index.php/phmap/article/view/3690,https://papers.phmsociety.org/index.php/phmap/article/view/3690,N-CMAPSS,N-CMAPSS,prognostics/diagnostics data engineering,not_applicable_or_NR,NR,Examines efficient organization and transformation of large multivariate run-to-failure data for prognostics and diagnostics workflows.,NR,NR,NR,NR,NR,NR,NR,NR,NR,Focus is data organization and RUL workflow rather than a directly comparable anomaly detector.,"Guides reproducible artifact layout, metadata retention, and scalable data preparation.",C,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,58,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Workflow evidence only.
LIT-059,Deep Autoencoding Gaussian Mixture Model for Unsupervised Anomaly Detection,NR,2018,ICLR,https://openreview.net/forum?id=BJJLHbb0-,https://openreview.net/forum?id=BJJLHbb0-,https://openreview.net/forum?id=BJJLHbb0-,General high-dimensional anomaly benchmarks,General high-dimensional anomaly benchmarks,deep baseline,unsupervised or method-dependent; exact training supervision NR,NR,"Jointly learns an autoencoder representation, reconstruction features, and a Gaussian-mixture energy model.",NR,NR,NR,NR,NR,NR,NR,NR,NR,Tabular benchmark method; temporal order and operating regimes require additional design.,Optional density-on-latent comparator; not required for the minimum study.,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,59,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Different datasets and labels.
LIT-060,Deep One-Class Classification,NR,2018,ICML / PMLR,https://proceedings.mlr.press/v80/ruff18a,https://proceedings.mlr.press/v80/ruff18a,NR,General one-class anomaly detection,General one-class anomaly detection,deep baseline,not_applicable_or_NR,NR,"Introduces Deep SVDD, optimizing a neural representation for a compact nominal-data hypersphere.",NR,NR,NR,NR,NR,NR,NR,NR,NR,Original experiments are image-centric; architecture constraints and collapse prevention matter.,Deep one-class alternative to reconstruction; lower priority than completing the registered protocol.,D,abstract_only,screening_only_no_numeric_use,False,60,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Different modality and protocol.
LIT-061,MAD-GAN: Multivariate Anomaly Detection for Time Series Data with Generative Adversarial Networks,NR,2019,ICANN / arXiv,arXiv:1901.04997,https://arxiv.org/abs/1901.04997,NR,SWaT and WADI cyber-physical systems,SWaT and WADI cyber-physical systems,deep baseline,not_applicable_or_NR,NR,Uses LSTM GAN components and a combined discrimination/reconstruction score for multivariate sequences.,NR,NR,NR,NR,NR,NR,NR,NR,NR,GAN instability and cyberattack intervals differ from gradual turbofan degradation.,Historical sequence-GAN comparator; supports keeping deep scope bounded.,D,abstract_only,screening_only_no_numeric_use,False,61,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Different anomaly semantics and datasets.
LIT-062,A Deep Neural Network for Unsupervised Anomaly Detection and Diagnosis in Multivariate Time Series Data,NR,2019,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/3942,https://ojs.aaai.org/index.php/AAAI/article/view/3942,https://ojs.aaai.org/index.php/AAAI/article/view/3942,Multivariate industrial time series,Multivariate industrial time series,deep baseline,not_applicable_or_NR,NR,MSCRED models multi-scale inter-sensor signature matrices with a convolutional recurrent encoder-decoder.,NR,NR,NR,NR,NR,NR,NR,NR,NR,Computationally heavier and evaluates benchmarks with different anomaly intervals.,"Supports sensor-correlation modeling and diagnosis as future, not immediate, extensions.",D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,62,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Different input representation and labels.
LIT-063,Graph Neural Network-Based Anomaly Detection in Multivariate Time Series,NR,2021,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/16523,https://ojs.aaai.org/index.php/AAAI/article/view/16523,https://ojs.aaai.org/index.php/AAAI/article/view/16523,High-dimensional sensor time series,High-dimensional sensor time series,deep baseline,not_applicable_or_NR,NR,"GDN learns inter-sensor graph structure and predicts expected behavior, enabling anomaly scoring and variable-level interpretation.",NR,NR,NR,NR,NR,NR,NR,NR,NR,Learned graphs are not automatically causal and benchmark protocols differ.,Future comparator if inter-sensor dependency becomes a justified research question.,D,full_text_verified,verified_for_context_only_metrics_not_reextracted,False,63,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Different datasets and evaluation conventions.
LIT-064,Timeseries Anomaly Detection using Temporal Hierarchical One-Class Network,NR,2020,NeurIPS,https://proceedings.neurips.cc/paper/2020/hash/97e401a02082021fd24957f852e0e475-Abstract.html,https://proceedings.neurips.cc/paper/2020/hash/97e401a02082021fd24957f852e0e475-Abstract.html,NR,General time-series anomaly benchmarks,General time-series anomaly benchmarks,deep baseline,one-class,NR,THOC combines multi-scale dilated recurrent features with hierarchical one-class objectives.,NR,NR,NR,NR,NR,NR,NR,NR,NR,High model complexity and no condition-aware FD002 validation.,Literature coverage for temporal one-class learning; optional comparator only.,D,abstract_only,screening_only_no_numeric_use,False,64,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Different datasets and protocol.
LIT-065,Multivariate Time Series Anomaly Detection and Interpretation Using Hierarchical Inter-Metric and Temporal Embedding,NR,2021,ACM KDD,doi:10.1145/3447548.3467075,https://dl.acm.org/doi/10.1145/3447548.3467075,NR,Multivariate time-series benchmarks,Multivariate time-series benchmarks,deep baseline,not_applicable_or_NR,NR,InterFusion jointly models inter-metric and temporal dependencies with hierarchical stochastic latent variables.,NR,NR,NR,NR,NR,NR,NR,NR,NR,Model and interpretation complexity can obscure causal attribution and raise compute cost.,Optional modern baseline and evidence that fusion/interpretation require careful validation.,D,abstract_only,screening_only_no_numeric_use,False,65,docs/research/Turbofan_Literature_Evidence_Matrix_100_Sources_v3.xlsx,ae173e281fbcbccae7da91920980f4d208a908d2f1a6a6dcfb54af5ebdf05ac3,2026-09-01,Different datasets and thresholds.
