candidate_id,detector_id,threshold_context,threshold_rule_id,threshold_kind,threshold_value,ewma_id,ewma_alpha,persistence
one_class_svm__global__mean_plus_2.0_std__ewma_off__persistence_3,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,off,,3
one_class_svm__global__mean_plus_2.0_std__ewma_off__persistence_5,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,off,,5
one_class_svm__global__mean_plus_2.0_std__ewma_off__persistence_8,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,off,,8
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_1,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.20,0.2,1
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_3,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.20,0.2,3
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_5,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.20,0.2,5
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_8,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.20,0.2,8
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.50__persistence_1,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.50,0.5,1
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.50__persistence_3,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.50,0.5,3
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.50__persistence_5,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.50,0.5,5
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.50__persistence_8,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.50,0.5,8
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.80__persistence_1,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.80,0.8,1
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.80__persistence_3,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.80,0.8,3
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.80__persistence_5,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.80,0.8,5
one_class_svm__global__mean_plus_2.0_std__ewma_alpha_0.80__persistence_8,one_class_svm,global,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.80,0.8,8
one_class_svm__per_mode__quantile_0.900__ewma_off__persistence_1,one_class_svm,per_mode,quantile_0.900,quantile,0.9,off,,1
one_class_svm__per_mode__quantile_0.900__ewma_off__persistence_3,one_class_svm,per_mode,quantile_0.900,quantile,0.9,off,,3
one_class_svm__per_mode__quantile_0.900__ewma_off__persistence_5,one_class_svm,per_mode,quantile_0.900,quantile,0.9,off,,5
one_class_svm__per_mode__quantile_0.900__ewma_off__persistence_8,one_class_svm,per_mode,quantile_0.900,quantile,0.9,off,,8
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.20__persistence_1,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.20,0.2,1
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.20__persistence_3,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.20,0.2,3
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.20__persistence_5,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.20,0.2,5
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.20__persistence_8,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.20,0.2,8
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.50__persistence_1,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.50,0.5,1
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.50__persistence_3,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.50,0.5,3
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.50__persistence_5,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.50,0.5,5
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.50__persistence_8,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.50,0.5,8
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.80__persistence_1,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.80,0.8,1
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.80__persistence_3,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.80,0.8,3
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.80__persistence_5,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.80,0.8,5
one_class_svm__per_mode__quantile_0.900__ewma_alpha_0.80__persistence_8,one_class_svm,per_mode,quantile_0.900,quantile,0.9,alpha_0.80,0.8,8
one_class_svm__per_mode__quantile_0.950__ewma_off__persistence_1,one_class_svm,per_mode,quantile_0.950,quantile,0.95,off,,1
one_class_svm__per_mode__quantile_0.950__ewma_off__persistence_3,one_class_svm,per_mode,quantile_0.950,quantile,0.95,off,,3
one_class_svm__per_mode__quantile_0.950__ewma_off__persistence_5,one_class_svm,per_mode,quantile_0.950,quantile,0.95,off,,5
one_class_svm__per_mode__quantile_0.950__ewma_off__persistence_8,one_class_svm,per_mode,quantile_0.950,quantile,0.95,off,,8
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.20__persistence_1,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.20,0.2,1
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.20__persistence_3,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.20,0.2,3
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.20__persistence_5,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.20,0.2,5
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.20__persistence_8,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.20,0.2,8
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.50__persistence_1,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.50,0.5,1
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.50__persistence_3,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.50,0.5,3
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.50__persistence_5,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.50,0.5,5
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.50__persistence_8,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.50,0.5,8
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.80__persistence_1,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.80,0.8,1
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.80__persistence_3,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.80,0.8,3
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.80__persistence_5,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.80,0.8,5
one_class_svm__per_mode__quantile_0.950__ewma_alpha_0.80__persistence_8,one_class_svm,per_mode,quantile_0.950,quantile,0.95,alpha_0.80,0.8,8
one_class_svm__per_mode__quantile_0.975__ewma_off__persistence_1,one_class_svm,per_mode,quantile_0.975,quantile,0.975,off,,1
one_class_svm__per_mode__quantile_0.975__ewma_off__persistence_3,one_class_svm,per_mode,quantile_0.975,quantile,0.975,off,,3
one_class_svm__per_mode__quantile_0.975__ewma_off__persistence_5,one_class_svm,per_mode,quantile_0.975,quantile,0.975,off,,5
one_class_svm__per_mode__quantile_0.975__ewma_off__persistence_8,one_class_svm,per_mode,quantile_0.975,quantile,0.975,off,,8
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.20__persistence_1,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.20,0.2,1
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.20__persistence_3,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.20,0.2,3
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.20__persistence_5,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.20,0.2,5
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.20__persistence_8,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.20,0.2,8
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.50__persistence_1,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.50,0.5,1
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.50__persistence_3,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.50,0.5,3
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.50__persistence_5,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.50,0.5,5
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.50__persistence_8,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.50,0.5,8
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.80__persistence_1,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.80,0.8,1
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.80__persistence_3,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.80,0.8,3
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.80__persistence_5,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.80,0.8,5
one_class_svm__per_mode__quantile_0.975__ewma_alpha_0.80__persistence_8,one_class_svm,per_mode,quantile_0.975,quantile,0.975,alpha_0.80,0.8,8
one_class_svm__per_mode__quantile_0.990__ewma_off__persistence_1,one_class_svm,per_mode,quantile_0.990,quantile,0.99,off,,1
one_class_svm__per_mode__quantile_0.990__ewma_off__persistence_3,one_class_svm,per_mode,quantile_0.990,quantile,0.99,off,,3
one_class_svm__per_mode__quantile_0.990__ewma_off__persistence_5,one_class_svm,per_mode,quantile_0.990,quantile,0.99,off,,5
one_class_svm__per_mode__quantile_0.990__ewma_off__persistence_8,one_class_svm,per_mode,quantile_0.990,quantile,0.99,off,,8
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.20__persistence_1,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.20,0.2,1
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.20__persistence_3,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.20,0.2,3
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.20__persistence_5,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.20,0.2,5
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.20__persistence_8,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.20,0.2,8
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.50__persistence_1,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.50,0.5,1
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.50__persistence_3,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.50,0.5,3
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.50__persistence_5,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.50,0.5,5
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.50__persistence_8,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.50,0.5,8
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.80__persistence_1,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.80,0.8,1
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.80__persistence_3,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.80,0.8,3
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.80__persistence_5,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.80,0.8,5
one_class_svm__per_mode__quantile_0.990__ewma_alpha_0.80__persistence_8,one_class_svm,per_mode,quantile_0.990,quantile,0.99,alpha_0.80,0.8,8
one_class_svm__per_mode__quantile_0.995__ewma_off__persistence_1,one_class_svm,per_mode,quantile_0.995,quantile,0.995,off,,1
one_class_svm__per_mode__quantile_0.995__ewma_off__persistence_3,one_class_svm,per_mode,quantile_0.995,quantile,0.995,off,,3
one_class_svm__per_mode__quantile_0.995__ewma_off__persistence_5,one_class_svm,per_mode,quantile_0.995,quantile,0.995,off,,5
one_class_svm__per_mode__quantile_0.995__ewma_off__persistence_8,one_class_svm,per_mode,quantile_0.995,quantile,0.995,off,,8
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_1,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.20,0.2,1
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_3,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.20,0.2,3
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_5,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.20,0.2,5
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.20,0.2,8
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.50__persistence_1,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.50,0.5,1
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.50__persistence_3,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.50,0.5,3
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.50__persistence_5,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.50,0.5,5
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.50__persistence_8,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.50,0.5,8
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.80__persistence_1,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.80,0.8,1
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.80__persistence_3,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.80,0.8,3
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.80__persistence_5,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.80,0.8,5
one_class_svm__per_mode__quantile_0.995__ewma_alpha_0.80__persistence_8,one_class_svm,per_mode,quantile_0.995,quantile,0.995,alpha_0.80,0.8,8
one_class_svm__per_mode__mean_plus_1.0_std__ewma_off__persistence_1,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,off,,1
one_class_svm__per_mode__mean_plus_1.0_std__ewma_off__persistence_3,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,off,,3
one_class_svm__per_mode__mean_plus_1.0_std__ewma_off__persistence_5,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,off,,5
one_class_svm__per_mode__mean_plus_1.0_std__ewma_off__persistence_8,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,off,,8
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.20__persistence_1,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.20,0.2,1
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.20__persistence_3,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.20,0.2,3
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.20__persistence_5,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.20,0.2,5
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.20__persistence_8,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.20,0.2,8
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.50__persistence_1,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.50,0.5,1
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.50__persistence_3,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.50,0.5,3
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.50__persistence_5,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.50,0.5,5
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.50__persistence_8,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.50,0.5,8
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.80__persistence_1,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.80,0.8,1
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.80__persistence_3,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.80,0.8,3
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.80__persistence_5,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.80,0.8,5
one_class_svm__per_mode__mean_plus_1.0_std__ewma_alpha_0.80__persistence_8,one_class_svm,per_mode,mean_plus_1.0_std,mean_plus_std,1.0,alpha_0.80,0.8,8
one_class_svm__per_mode__mean_plus_1.5_std__ewma_off__persistence_1,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,off,,1
one_class_svm__per_mode__mean_plus_1.5_std__ewma_off__persistence_3,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,off,,3
one_class_svm__per_mode__mean_plus_1.5_std__ewma_off__persistence_5,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,off,,5
one_class_svm__per_mode__mean_plus_1.5_std__ewma_off__persistence_8,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,off,,8
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.20__persistence_1,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.20,0.2,1
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.20__persistence_3,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.20,0.2,3
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.20__persistence_5,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.20,0.2,5
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.20__persistence_8,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.20,0.2,8
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.50__persistence_1,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.50,0.5,1
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.50__persistence_3,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.50,0.5,3
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.50__persistence_5,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.50,0.5,5
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.50__persistence_8,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.50,0.5,8
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.80__persistence_1,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.80,0.8,1
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.80__persistence_3,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.80,0.8,3
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.80__persistence_5,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.80,0.8,5
one_class_svm__per_mode__mean_plus_1.5_std__ewma_alpha_0.80__persistence_8,one_class_svm,per_mode,mean_plus_1.5_std,mean_plus_std,1.5,alpha_0.80,0.8,8
one_class_svm__per_mode__mean_plus_2.0_std__ewma_off__persistence_1,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,off,,1
one_class_svm__per_mode__mean_plus_2.0_std__ewma_off__persistence_3,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,off,,3
one_class_svm__per_mode__mean_plus_2.0_std__ewma_off__persistence_5,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,off,,5
one_class_svm__per_mode__mean_plus_2.0_std__ewma_off__persistence_8,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,off,,8
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.20__persistence_1,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.20,0.2,1
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.20__persistence_3,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.20,0.2,3
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.20__persistence_5,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.20,0.2,5
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.20__persistence_8,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.20,0.2,8
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.50__persistence_1,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.50,0.5,1
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.50__persistence_3,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.50,0.5,3
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.50__persistence_5,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.50,0.5,5
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.50__persistence_8,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.50,0.5,8
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.80__persistence_1,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.80,0.8,1
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.80__persistence_3,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.80,0.8,3
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.80__persistence_5,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.80,0.8,5
one_class_svm__per_mode__mean_plus_2.0_std__ewma_alpha_0.80__persistence_8,one_class_svm,per_mode,mean_plus_2.0_std,mean_plus_std,2.0,alpha_0.80,0.8,8
isolation_forest__global__quantile_0.900__ewma_off__persistence_1,isolation_forest,global,quantile_0.900,quantile,0.9,off,,1
isolation_forest__global__quantile_0.900__ewma_off__persistence_3,isolation_forest,global,quantile_0.900,quantile,0.9,off,,3
isolation_forest__global__quantile_0.900__ewma_off__persistence_5,isolation_forest,global,quantile_0.900,quantile,0.9,off,,5
isolation_forest__global__quantile_0.900__ewma_off__persistence_8,isolation_forest,global,quantile_0.900,quantile,0.9,off,,8
isolation_forest__global__quantile_0.900__ewma_alpha_0.20__persistence_1,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,1
isolation_forest__global__quantile_0.900__ewma_alpha_0.20__persistence_3,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,3
isolation_forest__global__quantile_0.900__ewma_alpha_0.20__persistence_5,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,5
isolation_forest__global__quantile_0.900__ewma_alpha_0.20__persistence_8,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.20,0.2,8
isolation_forest__global__quantile_0.900__ewma_alpha_0.50__persistence_1,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,1
isolation_forest__global__quantile_0.900__ewma_alpha_0.50__persistence_3,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,3
isolation_forest__global__quantile_0.900__ewma_alpha_0.50__persistence_5,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,5
isolation_forest__global__quantile_0.900__ewma_alpha_0.50__persistence_8,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.50,0.5,8
isolation_forest__global__quantile_0.900__ewma_alpha_0.80__persistence_1,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.80,0.8,1
isolation_forest__global__quantile_0.900__ewma_alpha_0.80__persistence_3,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.80,0.8,3
isolation_forest__global__quantile_0.900__ewma_alpha_0.80__persistence_5,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.80,0.8,5
isolation_forest__global__quantile_0.900__ewma_alpha_0.80__persistence_8,isolation_forest,global,quantile_0.900,quantile,0.9,alpha_0.80,0.8,8
isolation_forest__global__quantile_0.950__ewma_off__persistence_1,isolation_forest,global,quantile_0.950,quantile,0.95,off,,1
isolation_forest__global__quantile_0.950__ewma_off__persistence_3,isolation_forest,global,quantile_0.950,quantile,0.95,off,,3
isolation_forest__global__quantile_0.950__ewma_off__persistence_5,isolation_forest,global,quantile_0.950,quantile,0.95,off,,5
isolation_forest__global__quantile_0.950__ewma_off__persistence_8,isolation_forest,global,quantile_0.950,quantile,0.95,off,,8
isolation_forest__global__quantile_0.950__ewma_alpha_0.20__persistence_1,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.20,0.2,1
isolation_forest__global__quantile_0.950__ewma_alpha_0.20__persistence_3,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.20,0.2,3
isolation_forest__global__quantile_0.950__ewma_alpha_0.20__persistence_5,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.20,0.2,5
isolation_forest__global__quantile_0.950__ewma_alpha_0.20__persistence_8,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.20,0.2,8
isolation_forest__global__quantile_0.950__ewma_alpha_0.50__persistence_1,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.50,0.5,1
isolation_forest__global__quantile_0.950__ewma_alpha_0.50__persistence_3,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.50,0.5,3
isolation_forest__global__quantile_0.950__ewma_alpha_0.50__persistence_5,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.50,0.5,5
isolation_forest__global__quantile_0.950__ewma_alpha_0.50__persistence_8,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.50,0.5,8
isolation_forest__global__quantile_0.950__ewma_alpha_0.80__persistence_1,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.80,0.8,1
isolation_forest__global__quantile_0.950__ewma_alpha_0.80__persistence_3,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.80,0.8,3
isolation_forest__global__quantile_0.950__ewma_alpha_0.80__persistence_5,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.80,0.8,5
isolation_forest__global__quantile_0.950__ewma_alpha_0.80__persistence_8,isolation_forest,global,quantile_0.950,quantile,0.95,alpha_0.80,0.8,8
isolation_forest__global__quantile_0.975__ewma_off__persistence_1,isolation_forest,global,quantile_0.975,quantile,0.975,off,,1
